word,translation,category,subcategory,difficulty,wordType,definition,definitionZh,exampleSentence,exampleSentenceZh,tags,tagsZh
"construct","构筑；建造，建设","various","","advanced","noun","A word meaning: 构筑","构筑","","","noun","名词"
"construction","建造","various","","advanced","noun","A word meaning: 建造","建造","","","noun","名词"
"consult","咨询，商量","various","","intermediate","noun","A word meaning: 咨询","咨询","","","noun","名词"
"consultant","顾问","animals","insects","advanced","noun","A word meaning: 顾问","顾问","","","noun","名词"
"consume","消耗，耗费（燃料，能量，时间等）","various","","intermediate","noun","A word meaning: 消耗","消耗","","","noun","名词"
"contain","包含；包括；能容纳","various","","intermediate","noun","A word meaning: 包含","包含","","","noun","名词"
"container","容器;箱，匣;集装箱，货柜","various","","advanced","noun","A word meaning: 容器","容器","","","noun","名词"
"contemporary","属同时期的，同一时代的","various","","advanced","adjective","A word meaning: 属同时期的","属同时期的","","","adjective","形容词"
"content ^1^","内容","numbers","","advanced","noun","A word meaning: 内容","内容","","","noun","名词"
"content ^2^","甘愿的","numbers","","advanced","adjective","A word meaning: 甘愿的","甘愿的","","","adjective","形容词"
"continent","大陆，大洲；陆地","geography","","advanced","adverb","A word meaning: 大陆","大陆","","","adverb","副词"
"continue","继续","actions-verbs","","beginner","noun","A word meaning: 继续","继续","","","noun","名词"
"contradict","反驳，驳斥，批驳","various","","advanced","noun","A word meaning: 反驳","反驳","","","noun","名词"
"contradictory","相互矛盾","various","","advanced","noun","A word meaning: 相互矛盾","相互矛盾","","","noun","名词"
"contrary","相反 相反的","various","","intermediate","adjective","A word meaning: 相反 相反的","相反 相反的","","","adjective","形容词"
"contribute","贡献","various","","advanced","noun","A word meaning: 贡献","贡献","","","noun","名词"
"contribution","贡献","various","","advanced","noun","A word meaning: 贡献","贡献","","","noun","名词"
"control","控制","various","","intermediate","noun","A word meaning: 控制","控制","","","noun","名词"
"controversial","引起争论的","various","","advanced","adjective","A word meaning: 引起争论的","引起争论的","","","adjective","形容词"
"convenience","便利","various","","advanced","noun","A word meaning: 便利","便利","","","noun","名词"
"convenient","便利的，方便的","various","","advanced","adjective","A word meaning: 便利的","便利的","","","adjective","形容词"
"conventional","依照惯例的，习惯的","various","","advanced","adjective","A word meaning: 依照惯例的","依照惯例的","","","adjective","形容词"
"conversation","谈话，交谈","various","","advanced","noun","A word meaning: 谈话","谈话","","","noun","名词"
"convey","表达，传递（思想，感情等）","various","","intermediate","noun","A word meaning: 表达","表达","","","noun","名词"
"convince","使确信，使信服","various","","intermediate","noun","A word meaning: 使确信","使确信","","","noun","名词"
"cook","炊事员","food","","beginner","noun","A word meaning: 炊事员","炊事员","","","noun","名词"
"cooker","炊具(锅、炉灶、烤炉等)","various","","intermediate","noun","A word meaning: 炊具(锅、炉灶、烤炉等)","炊具(锅、炉灶、烤炉等)","","","noun","名词"
"cookie","饼干;小甜点;吸引人的年轻妇女;甜面包","food","sweets","intermediate","adjective","A word meaning: 饼干","饼干","","","adjective","形容词"
"cool","凉的，凉爽的；酷","various","","beginner","adjective","A word meaning: 凉的","凉的","","","adjective","形容词"
"copy","抄本，副本 抄写；复印；备份","various","","beginner","noun","A word meaning: 抄本","抄本","","","noun","名词"
"corn","玉米，谷物","various","","beginner","noun","A word meaning: 玉米","玉米","","","noun","名词"
"corner","角；角落；拐角","various","","intermediate","noun","A word meaning: 角","角","","","noun","名词"
"corporation","（大）公司","animals","mammals","advanced","noun","A word meaning: （大）公司","（大）公司","","","noun","名词"
"correct","改正；纠正 正确的，对的；恰当的","various","","intermediate","adjective","A word meaning: 改正","改正","","","adjective","形容词"
"correction","改正","various","","advanced","noun","A word meaning: 改正","改正","","","noun","名词"
"correspond","一致；与......相当；通信，有书信往来","various","","advanced","noun","A word meaning: 一致","一致","","","noun","名词"
"corrupt","堕落的，道德败坏的;贪污的，腐败的;腐烂的;（文献等）错误百出的 使腐败;使堕落;使腐烂 腐化;堕落;腐烂","various","","intermediate","adjective","A word meaning: 堕落的","堕落的","","","adjective","形容词"
"cost","价钱，代价;花费，费用;牺牲;[用复数][法律]诉讼费 价钱为，花费;估计成本 付出代价;估价;使丧失;使付出努力","clothing","","beginner","noun","A word meaning: 价钱","价钱","","","noun","名词"
"cosy(Am cozy)","舒适的，惬意的;畅快的;亲切友好的;","various","","advanced","adjective","A word meaning: 舒适的","舒适的","","","adjective","形容词"
"cottage","(郊外)小屋","various","","intermediate","noun","A word meaning: (郊外)小屋","(郊外)小屋","","","noun","名词"
"cotton","棉花 棉花的","various","","intermediate","adjective","A word meaning: 棉花 棉花的","棉花 棉花的","","","adjective","形容词"
"cough","咳嗽","various","","beginner","noun","A word meaning: 咳嗽","咳嗽","","","noun","名词"
"could","（can的过去式）可以...；可以...，行","various","","beginner","adjective","A word meaning: （can的过去式）可以...","（can的过去式）可以...","","","adjective","形容词"
"count","数，点数","education","","beginner","noun","A word meaning: 数","数","","","noun","名词"
"counter","柜台，结账处","education","","intermediate","noun","A word meaning: 柜台","柜台","","","noun","名词"
"country","国家；农村，乡下","education","","intermediate","noun","A word meaning: 国家","国家","","","noun","名词"
"countryside","乡下，农村","education","","advanced","noun","A word meaning: 乡下","乡下","","","noun","名词"
"couple","夫妇，一对","various","","intermediate","noun","A word meaning: 夫妇","夫妇","","","noun","名词"
"courage","勇气；胆略","various","","intermediate","noun","A word meaning: 勇气","勇气","","","noun","名词"
"course","过程；经过；课程","various","","intermediate","noun","A word meaning: 过程","过程","","","noun","名词"
"court","法庭；法院","various","","beginner","noun","A word meaning: 法庭","法庭","","","noun","名词"
"courtyard","天井;庭院，院子","various","","advanced","noun","A word meaning: 天井","天井","","","noun","名词"
"cousin","堂（表）兄弟，堂（表）姐妹","family","","intermediate","noun","A word meaning: 堂（表）兄弟","堂（表）兄弟","","","noun","名词"
"cover","盖子；罩 覆盖，遮盖；掩盖","various","","beginner","noun","A word meaning: 盖子","盖子","","","noun","名词"
"cow","母牛，奶牛","animals","mammals","beginner","noun","A word meaning: 母牛","母牛","","","noun","名词"
"crash","碰撞，撞击","various","","beginner","noun","A word meaning: 碰撞","碰撞","","","noun","名词"
"crayon","彩色蜡笔或粉笔;","various","","intermediate","noun","A word meaning: 彩色蜡笔或粉笔","彩色蜡笔或粉笔","","","noun","名词"
"crazy","疯狂的","various","","beginner","adjective","A word meaning: 疯狂的","疯狂的","","","adjective","形容词"
"cream","奶油，乳脂","food","","beginner","noun","A word meaning: 奶油","奶油","","","noun","名词"
"create","创造；造成","actions-verbs","","beginner","verb","A word meaning: 创造","创造","","","verb","动词"
"creature","生物，动物","animals","","intermediate","noun","A word meaning: 生物","生物","","","noun","名词"
"credit","信用；信赖；信誉","colors","","intermediate","noun","A word meaning: 信用","信用","","","noun","名词"
"crew","全体船员","various","","beginner","noun","A word meaning: 全体船员","全体船员","","","noun","名词"
"crime","（法律上的）罪，犯罪","various","","beginner","adjective","A word meaning: （法律上的）罪","（法律上的）罪","","","adjective","形容词"
"criminal","罪犯","various","","intermediate","adjective","A word meaning: 罪犯","罪犯","","","adjective","形容词"
"criterion(pl criteria)","标准，准则，原则","various","","advanced","noun","A word meaning: 标准","标准","","","noun","名词"
"crop","庄稼；收成","various","","beginner","noun","A word meaning: 庄稼","庄稼","","","noun","名词"
"cross","脾气不好的，易怒的 十字 越过；穿过","various","","beginner","adjective","A word meaning: 脾气不好的","脾气不好的","","","adjective","形容词"
"crossing","十字路口，人行横道","various","","intermediate","noun","A word meaning: 十字路口","十字路口","","","noun","名词"
"crossroads","交叉路口","transportation","","advanced","noun","A word meaning: 交叉路口","交叉路口","","","noun","名词"
"crowd","人群 拥挤，群聚","various","","beginner","noun","A word meaning: 人群 拥挤","人群 拥挤","","","noun","名词"
"cruel","残忍的，残酷的；无情的","various","","beginner","adjective","A word meaning: 残忍的","残忍的","","","adjective","形容词"
"cry","叫喊；哭声 喊叫；哭","various","","beginner","noun","A word meaning: 叫喊","叫喊","","","noun","名词"
"cube","立方体","various","","beginner","noun","A word meaning: 立方体","立方体","","","noun","名词"
"cubic","立方体的，立方形的","various","","beginner","adjective","A word meaning: 立方体的","立方体的","","","adjective","形容词"
"cuisine","饭菜，佳肴","various","","intermediate","noun","A word meaning: 饭菜","饭菜","","","noun","名词"
"culture","文化","various","","intermediate","noun","A word meaning: 文化","文化","","","noun","名词"
"cup","茶杯","house","","beginner","noun","A word meaning: 茶杯","茶杯","","","noun","名词"
"cupboard","碗柜；橱柜","house","furniture","intermediate","noun","A word meaning: 碗柜","碗柜","","","noun","名词"
"cure","治疗；医好","various","","beginner","noun","A word meaning: 治疗","治疗","","","noun","名词"
"curious","好奇的；奇异的","various","","intermediate","adjective","A word meaning: 好奇的","好奇的","","","adjective","形容词"
"currency","货币；现金","various","","intermediate","noun","A word meaning: 货币","货币","","","noun","名词"
"curriculum","全部课程，课程","various","","advanced","noun","A word meaning: 全部课程","全部课程","","","noun","名词"
"curtain","窗帘","house","","intermediate","noun","A word meaning: 窗帘","窗帘","","","noun","名词"
"cushion","垫子","various","","intermediate","noun","A word meaning: 垫子","垫子","","","noun","名词"
"custom","习惯，习俗，风俗习惯","various","","intermediate","noun","A word meaning: 习惯","习惯","","","noun","名词"
"customer","（商店）顾客，主顾","various","","intermediate","noun","A word meaning: （商店）顾客","（商店）顾客","","","noun","名词"
"customs","海关，关税","various","","intermediate","noun","A word meaning: 海关","海关","","","noun","名词"
"cut(cut","cut)","various","","advanced","noun","A word meaning: cut)","cut)","","","noun","名词"
"cycle","骑自行车","transportation","","beginner","noun","A word meaning: 骑自行车","骑自行车","","","noun","名词"
"cyclist","骑自行车的人","various","","intermediate","noun;adjective","A word meaning: 骑自行车的人","骑自行车的人","","","noun;adjective","名词;形容词"
"dad=daddy","（口）爸爸，爹爹","various","","advanced","noun","A word meaning: （口）爸爸","（口）爸爸","","","noun","名词"
"daily","每日的；日常的 每天 日报","various","","beginner","adverb;adjective","A word meaning: 每日的","每日的","","","adverb;adjective","副词;形容词"
"dam","水坝，堰堤","various","","beginner","noun","A word meaning: 水坝","水坝","","","noun","名词"
"damage","毁坏，损害","various","","intermediate","noun","A word meaning: 毁坏","毁坏","","","noun","名词"
"damp","潮湿（的）","various","","beginner","adjective","A word meaning: 潮湿（的）","潮湿（的）","","","adjective","形容词"
"dance","跳舞","various","","beginner","noun","A word meaning: 跳舞","跳舞","","","noun","名词"
"danger","危险","various","","intermediate","noun","A word meaning: 危险","危险","","","noun","名词"
"dangerous","危险的","various","","advanced","adjective","A word meaning: 危险的","危险的","","","adjective","形容词"
"dare","dare aux","various","","beginner","noun","A word meaning: dare aux","dare aux","","","noun","名词"
"dark","黑暗；暗处；日暮 黑暗的；暗淡的；深色的","various","","beginner","adjective","A word meaning: 黑暗","黑暗","","","adjective","形容词"
"darkness","黑暗，阴暗","various","","intermediate","noun","A word meaning: 黑暗","黑暗","","","noun","名词"
"dash","快跑，冲刺，短跑","various","","beginner","noun","A word meaning: 快跑","快跑","","","noun","名词"
"data","资料，数据","various","","beginner","noun","A word meaning: 资料","资料","","","noun","名词"
"database","数据库","various","","intermediate","noun","A word meaning: 数据库","数据库","","","noun","名词"
"date","日期；约会 约会","various","","beginner","verb","A word meaning: 日期","日期","","","verb","动词"
"daughter","女儿","family","","intermediate","noun","A word meaning: 女儿","女儿","","","noun","名词"
"dawn","黎明，拂晓","various","","beginner","noun","A word meaning: 黎明","黎明","","","noun","名词"
"day","（一）天，（一）日；白天","time","","beginner","noun","A word meaning: （一）天","（一）天","","","noun","名词"
"dead","死的；无生命的","various","","beginner","adjective","A word meaning: 死的","死的","","","adjective","形容词"
"deadline","最后期限，截止日期","various","","intermediate","noun","A word meaning: 最后期限","最后期限","","","noun","名词"
"deaf","聋的","various","","beginner","adjective","A word meaning: 聋的","聋的","","","adjective","形容词"
"deal(dealt","dealt)","various","","advanced","noun","A word meaning: dealt)","dealt)","","","noun","名词"
"dear","亲爱的；贵的","body","face","beginner","adjective","A word meaning: 亲爱的","亲爱的","","","adjective","形容词"
"death","死","food","","beginner","noun","A word meaning: 死","死","","","noun","名词"
"debate","讨论，辩论","animals","mammals","intermediate","verb","A word meaning: 讨论","讨论","","","verb","动词"
"debt","债务；欠款","various","","beginner","noun","A word meaning: 债务","债务","","","noun","名词"
"decade","十年","various","","intermediate","noun","A word meaning: 十年","十年","","","noun","名词"
"decide","决定；下决心","various","","intermediate","noun","A word meaning: 决定","决定","","","noun","名词"
"decision","决定；决心","various","","intermediate","noun","A word meaning: 决定","决定","","","noun","名词"
"declare","声明；断言","various","","intermediate","noun","A word meaning: 声明","声明","","","noun","名词"
"decline","减少，下降，衰退，谢绝","various","","intermediate","noun","A word meaning: 减少","减少","","","noun","名词"
"decorate","装饰......，修饰......","animals","mammals","intermediate","verb","A word meaning: 装饰......","装饰......","","","verb","动词"
"decoration","装饰，修饰","animals","mammals","advanced","noun","A word meaning: 装饰","装饰","","","noun","名词"
"decrease","减少，减小，降低","various","","intermediate","noun","A word meaning: 减少","减少","","","noun","名词"
"deed","行为；事迹","various","","beginner","noun","A word meaning: 行为","行为","","","noun","名词"
"deep","深 深的；深厚的","various","","beginner","adjective","A word meaning: 深 深的","深 深的","","","adjective","形容词"
"deer","鹿","animals","mammals","beginner","noun","A word meaning: 鹿","鹿","","","noun","名词"
"defeat","击败；战胜","food","","intermediate","noun","A word meaning: 击败","击败","","","noun","名词"
"defence(Am defense)","防御；防务","various","","advanced","noun","A word meaning: 防御","防御","","","noun","名词"
"defend","防守；保卫","actions-verbs","","intermediate","noun","A word meaning: 防守","防守","","","noun","名词"
"degree","程度；度数；学位","education","","intermediate","noun","A word meaning: 程度","程度","","","noun","名词"
"delay","拖延，延误，延迟，延期；耽搁","various","","beginner","noun","A word meaning: 拖延","拖延","","","noun","名词"
"delete","删去","various","","intermediate","noun","A word meaning: 删去","删去","","","noun","名词"
"deliberately","故意地","animals","mammals","advanced","adverb","A word meaning: 故意地","故意地","","","adverb","副词"
"delicate","易损的，易碎的，脆弱的","animals","mammals","intermediate","verb;adjective","A word meaning: 易损的","易损的","","","verb;adjective","动词;形容词"
"delicious","美味的，可口的","various","","advanced","adjective","A word meaning: 美味的","美味的","","","adjective","形容词"
"delight","快乐；乐事","various","","intermediate","noun","A word meaning: 快乐","快乐","","","noun","名词"
"delighted","高兴的，快乐的","various","","advanced","adjective","A word meaning: 高兴的","高兴的","","","adjective","形容词"
"deliver","投递（信件，邮包等）","body","organs","intermediate","noun","A word meaning: 投递（信件","投递（信件","","","noun","名词"
"demand","要求","various","","intermediate","noun","A word meaning: 要求","要求","","","noun","名词"
"dentist","牙科医生","various","","intermediate","noun","A word meaning: 牙科医生","牙科医生","","","noun","名词"
"department","部门；（机关的）司，处；（大学的）系","education","subjects","advanced","noun;adjective","A word meaning: 部门","部门","","","noun;adjective","名词;形容词"
"departure","离开，启程","education","subjects","advanced","noun","A word meaning: 离开","离开","","","noun","名词"
"depend","依靠，依赖，指望；取决于","house","","intermediate","noun","A word meaning: 依靠","依靠","","","noun","名词"
"deposit","放下，放置，存放","actions-verbs","","intermediate","noun","A word meaning: 放下","放下","","","noun","名词"
"depth","深，深度","various","","beginner","noun","A word meaning: 深","深","","","noun","名词"
"describe","描写，叙述","various","","intermediate","noun","A word meaning: 描写","描写","","","noun","名词"
"description","描述，描写","various","","advanced","noun","A word meaning: 描述","描述","","","noun","名词"
"desert","沙漠 舍弃；遗弃","nature","landscape","intermediate","noun","A word meaning: 沙漠 舍弃","沙漠 舍弃","","","noun","名词"
"deserve","应受，应得，值得","various","","intermediate","noun","A word meaning: 应受","应受","","","noun","名词"
"design","设计，策划 图案，图样，样式","various","","intermediate","noun","A word meaning: 设计","设计","","","noun","名词"
"desire","要求；期望","various","","intermediate","noun","A word meaning: 要求","要求","","","noun","名词"
"desk","书桌，写字台","house","furniture","beginner","noun","A word meaning: 书桌","书桌","","","noun","名词"
"desperate","（因绝望而）不惜冒险的，不顾一切的，拼命的","animals","mammals","advanced","verb;adjective","A word meaning: （因绝望而）不惜冒险的","（因绝望而）不惜冒险的","","","verb;adjective","动词;形容词"
"dessert","甜点","various","","intermediate","noun","A word meaning: 甜点","甜点","","","noun","名词"
"destination","目的地，终点","geography","","advanced","noun;adjective;adverb","A word meaning: 目的地","目的地","","","noun;adjective;adverb","名词;形容词;副词"
"destroy","破坏，毁坏","actions-verbs","","intermediate","noun","A word meaning: 破坏","破坏","","","noun","名词"
"detective","侦探","various","","advanced","adjective","A word meaning: 侦探","侦探","","","adjective","形容词"
"determination","决心","geography","","advanced","noun","A word meaning: 决心","决心","","","noun","名词"
"determine","决定；决心","various","","advanced","noun","A word meaning: 决定","决定","","","noun","名词"
"develop","（使）发展；（使）发达；（使）发育；开发 冲洗（照片）","various","","intermediate","noun","A word meaning: （使）发展","（使）发展","","","noun","名词"
"development","发展，发达，发育，开发","various","","advanced","noun","A word meaning: 发展","发展","","","noun","名词"
"devote","把...奉献；把...专用（于）","various","","intermediate","noun","A word meaning: 把...奉献","把...奉献","","","noun","名词"
"devotion","奉献，奉献精神","various","","intermediate","noun","A word meaning: 奉献","奉献","","","noun","名词"
"diagram","图表，图样","various","","intermediate","noun","A word meaning: 图表","图表","","","noun","名词"
"dial","拨（电话号码）","various","","beginner","adjective","A word meaning: 拨（电话号码）","拨（电话号码）","","","adjective","形容词"
"dialogue(Am dialog)","对话","various","","advanced","noun","A word meaning: 对话","对话","","","noun","名词"
"diamond","钻石，金刚石；纸牌中的方块","various","","intermediate","adjective","A word meaning: 钻石","钻石","","","adjective","形容词"
"diary","日记；日记簿","various","","beginner","noun","A word meaning: 日记","日记","","","noun","名词"
"dictation","听写","various","","advanced","noun","A word meaning: 听写","听写","","","noun","名词"
"dictionary","词典，字典","education","","advanced","noun","A word meaning: 词典","词典","","","noun","名词"
"die","死","various","","beginner","noun","A word meaning: 死","死","","","noun","名词"
"diet","饮食","various","","beginner","noun","A word meaning: 饮食","饮食","","","noun","名词"
"differ","相异，有区别","various","","intermediate","noun","A word meaning: 相异","相异","","","noun","名词"
"difference","不同","various","","advanced","noun","A word meaning: 不同","不同","","","noun","名词"
"different","不同的，有差异的","various","","advanced","adjective","A word meaning: 不同的","不同的","","","adjective","形容词"
"difficult","难的；艰难的；不易相处的","various","","advanced","adjective","A word meaning: 难的","难的","","","adjective","形容词"
"difficulty","困难，费力","various","","advanced","noun","A word meaning: 困难","困难","","","noun","名词"
"dig(dug","dug)","various","","advanced","noun","A word meaning: dug)","dug)","","","noun","名词"
"digest","消化；领会","various","","intermediate","noun","A word meaning: 消化","消化","","","noun","名词"
"digital","数字的，数码的","various","","intermediate","adjective","A word meaning: 数字的","数字的","","","adjective","形容词"
"dignity","尊严，庄严","various","","intermediate","noun","A word meaning: 尊严","尊严","","","noun","名词"
"dilemma","（进退两难的）窘境，困境","various","","intermediate","adjective","A word meaning: （进退两难的）窘境","（进退两难的）窘境","","","adjective","形容词"
"dimension","尺寸，面积，维度","various","","advanced","noun","A word meaning: 尺寸","尺寸","","","noun","名词"
"dinner","正餐，宴会","food","","intermediate","noun","A word meaning: 正餐","正餐","","","noun","名词"
"dinosaur","恐龙","animals","","intermediate","noun","A word meaning: 恐龙","恐龙","","","noun","名词"
"dioxide","二氧化物","various","","intermediate","noun","A word meaning: 二氧化物","二氧化物","","","noun","名词"
"dip","浸，蘸","various","","beginner","noun","A word meaning: 浸","浸","","","noun","名词"
"diploma","毕业文凭；学位证书","various","","intermediate","noun","A word meaning: 毕业文凭","毕业文凭","","","noun","名词"
"direct","直接的；直达的；直截了当的 指挥；指导；监督；管理；指挥（演奏）；导演（电影）","various","","intermediate","adjective","A word meaning: 直接的","直接的","","","adjective","形容词"
"direction","方向；方位","various","","advanced","noun","A word meaning: 方向","方向","","","noun","名词"
"director","所长，处长，主任；董事；导演","various","","intermediate","noun","A word meaning: 所长","所长","","","noun","名词"
"directory","姓名地址录，（电话）号码簿","various","","advanced","adverb","A word meaning: 姓名地址录","姓名地址录","","","adverb","副词"
"dirty","脏的","various","","beginner","adjective","A word meaning: 脏的","脏的","","","adjective","形容词"
"disability","残疾；无能","various","","advanced","noun","A word meaning: 残疾","残疾","","","noun","名词"
"disabled","残废的，残疾的","various","","intermediate","adjective","A word meaning: 残废的","残废的","","","adjective","形容词"
"disadvantage","不利条件；弱点","animals","insects","advanced","noun","A word meaning: 不利条件","不利条件","","","noun","名词"
"disagree","意见不一致，持不同意见","various","","intermediate","noun","A word meaning: 意见不一致","意见不一致","","","noun","名词"
"disagreement","意见不一致；相违；争论","various","","advanced","noun","A word meaning: 意见不一致","意见不一致","","","noun","名词"
"disappear","消失","food","fruits","advanced","noun","A word meaning: 消失","消失","","","noun","名词"
"disappoint","使失望","various","","advanced","noun","A word meaning: 使失望","使失望","","","noun","名词"
"disappointed","失望的","various","","advanced","adjective","A word meaning: 失望的","失望的","","","adjective","形容词"
"disaster","灾难；祸患","various","","intermediate","noun","A word meaning: 灾难","灾难","","","noun","名词"
"discount","折扣","education","","intermediate","noun","A word meaning: 折扣","折扣","","","noun","名词"
"discourage","（使）气馁；打消（做...的念头）","various","","advanced","adjective","A word meaning: （使）气馁","（使）气馁","","","adjective","形容词"
"discover","发现","various","","intermediate","noun","A word meaning: 发现","发现","","","noun","名词"
"discovery","发现","various","","advanced","noun","A word meaning: 发现","发现","","","noun","名词"
"discrimination","歧视","geography","","advanced","noun","A word meaning: 歧视","歧视","","","noun","名词"
"discuss","讨论，议论","various","","intermediate","noun","A word meaning: 讨论","讨论","","","noun","名词"
"discussion","讨论，辩论","various","","advanced","noun","A word meaning: 讨论","讨论","","","noun","名词"
"disease","病，疾病","nature","","intermediate","noun","A word meaning: 病","病","","","noun","名词"
"disgusting","极糟的，令人不快的，令人厌恶的","various","","advanced","adjective","A word meaning: 极糟的","极糟的","","","adjective","形容词"
"dish","盘，碟；盘装菜；盘形物","food","","beginner","noun","A word meaning: 盘","盘","","","noun","名词"
"disk=disc","磁盘","various","","advanced","noun","A word meaning: 磁盘","磁盘","","","noun","名词"
"dislike","不喜爱；厌恶","actions-verbs","","intermediate","noun","A word meaning: 不喜爱","不喜爱","","","noun","名词"
"dismiss","让...离开；遣散；解散；解雇","various","","intermediate","noun","A word meaning: 让...离开","让...离开","","","noun","名词"
"disobey","不服从","various","","intermediate","noun","A word meaning: 不服从","不服从","","","noun","名词"
"distance","距离","various","","intermediate","noun","A word meaning: 距离","距离","","","noun","名词"
"distant","远的，遥远的","animals","insects","intermediate","adjective","A word meaning: 远的","远的","","","adjective","形容词"
"distinction","差别，区别，优秀","various","","advanced","noun","A word meaning: 差别","差别","","","noun","名词"
"distinguish","区分，辨别，分清","various","","advanced","noun","A word meaning: 区分","区分","","","noun","名词"
"distribute","分发，分配","various","","advanced","noun","A word meaning: 分发","分发","","","noun","名词"
"district","区；地区；区域","various","","intermediate","adverb","A word meaning: 区","区","","","adverb","副词"
"disturb","扰乱；打扰","various","","intermediate","noun","A word meaning: 扰乱","扰乱","","","noun","名词"
"disturbing","令人不安的，引起恐慌的","various","","advanced","adjective","A word meaning: 令人不安的","令人不安的","","","adjective","形容词"
"dive","跳水","various","","beginner","adjective","A word meaning: 跳水","跳水","","","adjective","形容词"
"diverse","不同的，多种多样的","various","","intermediate","adjective","A word meaning: 不同的","不同的","","","adjective","形容词"
"divide","分，划分","various","","intermediate","noun","A word meaning: 分","分","","","noun","名词"
"division","（算术用语）除","various","","intermediate","noun","A word meaning: （算术用语）除","（算术用语）除","","","noun","名词"
"divorce","离婚","various","","intermediate","noun","A word meaning: 离婚","离婚","","","noun","名词"
"dizzy","头晕目眩的","various","","beginner","adjective","A word meaning: 头晕目眩的","头晕目眩的","","","adjective","形容词"
"do(did","done)","numbers","","beginner","noun","A word meaning: done)","done)","","","noun","名词"
"doctor","医生，大夫；博士","various","","intermediate","noun","A word meaning: 医生","医生","","","noun","名词"
"document","文件；文献","various","","intermediate","noun","A word meaning: 文件","文件","","","noun","名词"
"dog","狗","animals","mammals","beginner","noun","A word meaning: 狗","狗","","","noun","名词"
"doll","玩偶，玩具娃娃","various","","beginner","noun","A word meaning: 玩偶","玩偶","","","noun","名词"
"dollar","元（美国、加拿大、澳大利亚等国货币单位）","various","","intermediate","noun","A word meaning: 元（美国、加拿大、澳大利亚等国货币单位）","元（美国、加拿大、澳大利亚等国货币单位）","","","noun","名词"
"door","门","house","","beginner","noun","A word meaning: 门","门","","","noun","名词"
"dormitory","学生宿舍（缩写式dorm）","various","","advanced","noun","A word meaning: 学生宿舍（缩写式dorm）","学生宿舍（缩写式dorm）","","","noun","名词"
"dot","点，小点，圆点","various","","beginner","noun","A word meaning: 点","点","","","noun","名词"
"double","两倍的；双的 两个；双","various","","intermediate","adjective","A word meaning: 两倍的","两倍的","","","adjective","形容词"
"doubt","怀疑，疑惑","various","","beginner","noun","A word meaning: 怀疑","怀疑","","","noun","名词"
"down","沿着，沿...而下 向下","various","","beginner","noun","A word meaning: 沿着","沿着","","","noun","名词"
"download","下载（计算机用语）","various","","intermediate","noun","A word meaning: 下载（计算机用语）","下载（计算机用语）","","","noun","名词"
"downstairs","在楼下；到楼下","nature","","advanced","noun","A word meaning: 在楼下","在楼下","","","noun","名词"
"downtown","往或在城市的商业区（或中心区、闹市区） 城市的商业区，中心区，闹市区 城市的商业区的，中心区的，闹市区的","geography","","intermediate","adjective","A word meaning: 往或在城市的商业区（或中心区、闹市区） 城市的商业区","往或在城市的商业区（或中心区、闹市区） 城市的商业区","","","adjective","形容词"
"dozen","十二个；几十，许多","various","","beginner","verb","A word meaning: 十二个","十二个","","","verb","动词"
"Dr(缩)=Doctor","医生，大夫；博士","various","","advanced","noun","A word meaning: 医生","医生","","","noun","名词"
"drag","拖；拽","animals","","beginner","noun","A word meaning: 拖","拖","","","noun","名词"
"draw(drew","drawn)","education","","advanced","noun","A word meaning: drawn)","drawn)","","","noun","名词"
"drawer","抽屉","house","","intermediate","noun","A word meaning: 抽屉","抽屉","","","noun","名词"
"dream(dreamt","dreamt或-ed","various","","advanced","noun","A word meaning: dreamt或-ed","dreamt或-ed","","","noun","名词"
"dress","女服，连衣裙；(统指)服装；童装 穿衣；穿着","clothing","womens-clothing","beginner","noun","A word meaning: 女服","女服","","","noun","名词"
"drill","钻头；（反复的）训练 钻(孔)，在...上钻孔；重复训练","various","","beginner","adjective","A word meaning: 钻头","钻头","","","adjective","形容词"
"drink(drank","drunk)","actions-verbs","","advanced","noun","A word meaning: drunk)","drunk)","","","noun","名词"
"drive(drove","driven)","various","","advanced","noun","A word meaning: driven)","driven)","","","noun","名词"
"driver","司机，驾驶员","transportation","","intermediate","noun","A word meaning: 司机","司机","","","noun","名词"
"drop","掉下，落下；投递；放弃","various","","beginner","noun","A word meaning: 掉下","掉下","","","noun","名词"
"drug","药，药物；毒品","various","","beginner","noun","A word meaning: 药","药","","","noun","名词"
"drum","鼓","various","","beginner","noun","A word meaning: 鼓","鼓","","","noun","名词"
"drunk","醉的","actions-verbs","","beginner","adjective","A word meaning: 醉的","醉的","","","adjective","形容词"
"dry","使...干；弄干；擦干 干的；干燥的","various","","beginner","adjective","A word meaning: 使...干","使...干","","","adjective","形容词"
"duck","鸭子","animals","birds","beginner","noun","A word meaning: 鸭子","鸭子","","","noun","名词"
"due","预期的；约定的","various","","beginner","adjective","A word meaning: 预期的","预期的","","","adjective","形容词"
"dull","阴暗的；单调无味","various","","beginner","adjective","A word meaning: 阴暗的","阴暗的","","","adjective","形容词"
"dumpling","饺子","food","","intermediate","noun","A word meaning: 饺子","饺子","","","noun","名词"
"during","在...期间；在...过程中","various","","intermediate","noun","A word meaning: 在...期间","在...期间","","","noun","名词"
"dusk","黄昏","various","","beginner","noun","A word meaning: 黄昏","黄昏","","","noun","名词"
