Word,Chinese Translation
disgusting,极糟的，令人不快的，令人厌恶的
dish,盘，碟；盘装菜；盘形物
disk=disc,磁盘
dislike,不喜爱；厌恶
dismiss,让...离开；遣散；解散；解雇
disobey,不服从
distance,距离
distant,远的，遥远的
distinction,差别，区别，优秀
distinguish,区分，辨别，分清
distribute,分发，分配
district,区；地区；区域
disturb,扰乱；打扰
disturbing,令人不安的，引起恐慌的
dive,跳水
diverse,不同的，多种多样的
divide,分，划分
division,（算术用语）除
divorce,离婚
dizzy,头晕目眩的
do(did, done),做，干（用以构成疑问句及否定句。第三人称单数现在时用does）
doctor,医生，大夫；博士
document,文件；文献
dog,狗
doll,玩偶，玩具娃娃
dollar,元（美国、加拿大、澳大利亚等国货币单位）
door,门
dormitory,学生宿舍（缩写式dorm）
dot,点，小点，圆点
double,两倍的；双的 两个；双
doubt,怀疑，疑惑
down,沿着，沿...而下 向下
download,下载（计算机用语）
downstairs,在楼下；到楼下
downtown,往或在城市的商业区（或中心区、闹市区） 城市的商业区，中心区，闹市区 城市的商业区的，中心区的，闹市区的
dozen,十二个；几十，许多
Dr(缩)=Doctor,医生，大夫；博士
drag,拖；拽
draw(drew, drawn),绘画；绘制；拉，拖；提取（金钱）
drawer,抽屉
dream(dreamt, dreamt或-ed, -ed),梦，梦想
dress,女服，连衣裙；(统指)服装；童装 穿衣；穿着
drill,钻头；（反复的）训练 钻(孔)，在...上钻孔；重复训练
drink(drank, drunk),喝，饮 饮料；喝酒
drive(drove, driven),驾驶，开（车）；驱赶
driver,司机，驾驶员
drop,掉下，落下；投递；放弃
drug,药，药物；毒品
drum,鼓
drunk,醉的
dry,使...干；弄干；擦干 干的；干燥的
duck,鸭子
due,预期的；约定的
dull,阴暗的；单调无味
dumpling,饺子
during,在...期间；在...过程中
dusk,黄昏
dust,灰尘，尘土
dustbin,垃圾箱
dusty,尘土般的，尘土多的
duty,责任，义务
DVD=digital versatile disk,数码影碟
dynamic,充满活力的，精力充沛的，动态的，发展变化的
dynasty,朝代，王朝
each,每人，每个，每件
eager,渴望的，热切的
eagle,鹰
ear,耳朵；耳状物；听力，听觉
early,早的 早地
earn,挣得，赚得
earth,地球；土，泥；大地
earthquake,地震
ease,安逸；减轻
east,东方的；东部的；朝东的；从东方来的 在东方；向东方；从东方 东，东方；东部
Easter,复活节
eastern,东方的；东部的
easy,容易的，不费力的
eat(ate, eaten),吃
ecology,生态，生态学
edge,边缘
edition,（发行物的）版，版（本）
editor,编辑
educate,教育，培养
educator,教育家
education,教育，培养
effect,效果；作用
effort,努力，艰难的尝试
egg,蛋；卵
eggplant,茄子
either,两方任一方的；二者之一 二者之一；要么... 也
elder,长者；前辈
elect,（投票）选举
electric,电的
electrical,电的；电器的
electricity,电；电流
electronic,电子的
elegant,文雅的，漂亮的，优美的
elephant,象
else,别的，其他的
email/e-mail,电子邮件 发电子邮件
embarrass,使窘迫，尴尬
embassy,大使馆
emergency,紧急情况或状态
emperor,皇帝
empire,帝国
employ,雇佣
empty,空的
encourage,鼓励
encouragement,鼓励
end,末尾；终点；结束
ending,结局；结尾，最后
endless,无止境的；没完的
enemy,敌人；敌军
energetic,精力旺盛的
energy,精力，能量
engine,发动机，引擎
engineer,工程师；技师
enjoy,欣赏；享受...之乐趣；喜欢
enjoyable,愉快的；有趣的
enlarge,扩大
enough,足够的；充分的 足够地；充分地
enquiry,询问
enter,进入
enterprise,公司，企（事）业单位
entertainment,娱乐
enthusiastic,热情的，热心的
entire,整个的，全部的
entrance,入口；入场；进入的权利；入学许可
entry,进入
envelope,信封
environment,环境
envy,忌妒；羡慕
equal,平等的 等于，使等于
equality,平等
equip,提供设备；装备；配备
equipment,装备，设备
eraser,橡皮擦；黑板擦
error,错误；差错
erupt,爆发
escape,逃跑；逃脱
especially,特别，尤其
essay,散文；文章；随笔
essential,必不可少的，必要的
establish,建立，创立，使立足
estimate,估计，估价，评估
etc,等等
ethnic,民族的，种族的
Europe,欧洲
European,欧洲的，欧洲人的 欧洲人
evaluate,估值，评价，评估
even,甚至，连（...都）；更
evening,傍晚，晚上
event,事件，大事
eventually,最终地
ever,曾经；无论何时
every,每一，每个的
everybody,每人，人人
everyday,每日的；日常的
everyone,每人，人人
everything,每件事，事事
everywhere,到处
evidence,证据，证明
evident,清楚的，显而易见的
evil,邪恶的，坏的
exact,精确的；确切的
exam=examination,考试，测试；检查；审查
examine,检查；诊察
example,例子；榜样
excellent,极好的，优秀的
except,除...之外
exchange,交换，调换；交流
excite,使兴奋，使激动
excuse,借口；辩解 原谅；宽恕
exercise,锻炼，做操；练习，习题 锻炼
exhibition,展览；展览会
exist,存在
existence,存在；生存；存在物
exit,出口，太平门
expand,扩大，增加，扩展
expect,预料；盼望；认为
expectation,预料；期望
expense,消费；支出
expensive,昂贵的
experience,经验；经历
experiment,实验
expert,专家，能手
explain,解释，说明
explanation,解释，说明
explode,（使）爆炸
explore,勘探，探测
export,出口，输出
expose,揭露
express,表达；表示 快的，特快的
expression,表达；词句；表示，说法；表情
extension,扩大，延伸，电话分机线
extra,额外的，外加的
extraordinary,离奇的；使人惊奇的
extreme,极度的
eye,眼睛
eyesight,视力；视觉
face,脸 面向；面对
facial,面部用的
fact,事实，现实
factory,工厂
fade,褪色，（颜色）消退
fail,失败；不及格；衰退
failure,失败
fair ^1^,公平的，合理的;(肤色)白皙的;（人）白肤金发的;相当的
fair ^2^,集市;庙会;展览会;（农产品的）集市;义卖会
fairly,公正地，正当地；相当（程度）地
faith,信仰；信念
fall(fell, fallen),落（下），降落；倒 秋季
false,不正确的；假的
familiar,熟悉的
family,家庭；家族；子女
famous,著名的
fan,风扇 （电影、运动等的）迷；热心的爱好者（支持者）
fancy,花式的；装饰的；奇特的
fantastic,（口语）极好的，美妙的，很棒的
fantasy,幻想，梦想
far(farther, farthest或further, furthest),远的；遥远的 远地
fare,（乘车或船等的）费用，票（价）
farm,农场；农庄
farmer,农民
fast,快的，迅速的；紧密的 快地，迅速地；紧密地
fasten,扎牢；扣住
fat,脂肪 胖的；肥的
father,父亲
fault,缺点，毛病
favour(Am favor),恩惠；好意；帮助
favourite(Am favorite),喜爱的 特别喜爱的人（或物）
fax,传真
fear,害怕；恐惧；担忧
feast,盛宴，宴会，（宗教的）节日
feather,羽毛
feature,特征，特色
February,二月
federal,中央的（政府等）；联邦的
fee,费，费用
feed(fed, fed),喂（养）；饲（养）
feel(felt, felt),感觉，觉得；摸，触
feeling,感情；感觉
fellow,同伴；伙伴
female,女的；女性的；雌性的
fence,栅栏；围栏；篱笆
ferry,渡船
festival,节日的，喜庆的
fetch,（去）取（物）来，（去）带（人）来
fever,发烧；发热
few,不多；少数 不多的；少数的
fibre(Am fiber),纤维质
fiction,小说，虚构，编造
field,田地；牧场；场地
fierce,猛烈的
fight(fought, fought),打仗（架），争论
figure,数字；数目；图；图形；（人的）身型；人物；（绘画、雕刻）人物像 （美口语）认为，判断；（在心里）想像，描绘
file,公文柜；档案，（计算机）文档
fill,填空，装满
film,电影；影片；胶卷 拍摄，把...拍成电影
final,最后的；终极的
finance,资金，财政，财务
find(found, found),找到，发现，感到
fine ^1^,细的；晴朗的；美好的；（身体）健康的
fine ^2^,罚款
finger,手指
fingernail,指甲
finish,结束；做完
fire,火；火炉；火灾 开火，开（枪，炮等），射击
fireworks,焰火
firm ^1^,坚固的，坚定的
firm ^2^,公司；企业
fish,鱼；鱼肉 钓鱼；捕鱼
fisherman,渔民；钓鱼健身者
fist,拳(头)
fit,适合，合身;安装 适合的；健康的
fix,修理；安装；确定，决定
flag,旗；标志；旗舰
flame,火焰，光辉
flaming,火红的；火焰般的
flash,闪；闪光；转瞬间
flashlight,手电
flat,平的 楼中一套房间；公寓（常用复数）
flee(fled, fled),逃走；逃跑
flexible,灵活的，可变动的
flesh,肉
flight,航班;楼梯的一段
float,漂浮，浮动
flood,洪水 淹没，使泛滥
floor,地面，地板；（楼房的）层
flour,面粉，粉
flow,流动
flower,花
flu,流行性感冒
fluent,流利的，流畅的
fly(flew, flown),（鸟、飞机）飞；（人乘飞机）飞行；（旗子等）飘动 空运（乘客，货物等）；放（风筝、飞机模型等）
fly,苍蝇
focus,集中（注意力、精力）于 焦点，中心点
fog,雾
foggy,多雾的
fold,折叠；合拢
folk,民间的
follow,跟随；仿效；跟得上
fond,喜爱的，爱好的
food,食物，食品
fool,傻子，蠢人
foolish,愚蠢的，傻的
foot(pl feet),足，脚；英尺
football,（英式）足球；（美式）橄榄球
for,为了...；向...，往...；与...交换；防备...；适合...；因为...；在...期间；对于...；对...来说
forbid(forbade, forbidden),禁止，不许
force,强迫，迫使
forecast,预告
forehead,前额
foreign,外国的
foreigner,外国人
foresee(foresaw, foreseen),预见；预知
forest,森林
forever,永远；永恒的
forget(forgot, forgotten),忘记；忘掉
forgetful,健忘的，不留心的
forgive(forgave, forgiven),原谅，宽恕
fork,叉，餐叉
form,表格；形式；结构
format,安排，计划，设计
former,以前的，从前的；（两者之中的）前者
fortnight,十四日，两星期
fortunate,幸运的；侥幸的
fortune,财产；运气
forty,四十
forward,将来，今后；向前，前进
found,成立，建立
fountain,喷泉
fox,狐狸
franc,法郎
fragile,易碎的，易损的
fragrant,香的，芬芳的
framework,框架，结构
free,自由的，空闲的；免费的
freedom,自由
freeway,高速公路
freeze(froze, frozen),结冰
freezing,冻结的；极冷的
frequent,经常的；频繁的
fresh,新鲜的
friction,摩擦
Friday,星期五
fridge=refrigerator,冰箱
friend,朋友
friendly,友好的
friendship,友谊，友情
fright,惊恐；恐吓
frighten,使惊恐，吓唬
frog,青蛙
from,从；从...起；来自
front,前面的；前部的 前面；前部；前线
frontier,前沿，边界；前线
frost,霜
fruit,水果；果实
fry,用油煎；用油炸
fuel,燃料
full,满的，充满的；完全的
fun,有趣的事，娱乐，玩笑
function,作用，功能，职能
fundamental,十分重大的，根本的
funeral,葬礼
funny,有趣的，滑稽可笑的
fur,毛皮；皮子
furnished,配备了家具的
furniture,（总称）家具
future,将来
gain,赢得；挣得
gallery,画廊；美术品陈列室
gallon,加仑
game,游戏；运动；比赛
garage,汽车间（库）
garbage,垃圾
garden,花园，果园，菜园
garlic,大蒜
garment,（一件）衣服
gas,煤气
gate,大门
gather,聚集；采集
gay,（男）同性恋的;快活的，愉快的
general,大体的，笼统的，总的
generation,代，一代
generous,慷慨大方的
gentle,温柔的，轻轻的
gentleman,绅士，先生；有身份、有教养的人
geography,地理学
geometry,几何学
gesture,姿势，手势
get(got, got),成为；得到；具有；到达
gift,赠品；礼物
gifted,有天赋的；有才华的
giraffe,长颈鹿
girl,女孩
give(gave, given),给；递给；付出；给予
glad,高兴的；乐意的
glance,匆匆一看；一瞥
glare,瞪眼；怒目而视；闪耀
glass,玻璃杯；玻璃；(复)眼镜
globe,地球仪；地球
glory,巨大的光荣；荣誉；赞美
glove,手套
glue,胶水
go(went, gone),去；走；驶；通到；到达
goal,（足球）球门，目标
goat,山羊
god,神，（大写）上帝
gold,黄金 金的，黄金的
golden,金（黄）色的
golf,高尔夫球
good(better, best),好；良好
goodbye,再见；再会
goods,商品，货物
goose(pl geese),鹅
govern,统治；管理
government,政府
gown,礼服，长外衣，睡衣
grade,等级；（中小学的）学年；成绩，分数
gradual,逐渐的
graduate,毕业
graduation,毕业，毕业典礼
grain,谷物，谷类
gram,克（重量单位）
grammar,语法
grand,宏伟的
grandchild,（外）孙或孙女，孙辈
granddaughter,（外）孙女
grandma=grandmother,奶奶；外婆
grandpa=grandfather,爷爷；外公
grandparents,祖父母，外祖父母
grandson,（外）孙子
granny,老奶奶；祖母；外婆
grape,葡萄
grasp,抓住；紧握
grass,草；草场；牧草
grateful,感激的，感谢的
gravity,重力
great,伟大的；重要的；好极了 （口语）好极了，很好
greedy,贪婪的
green,绿色的；青的 绿色
greengrocer,（英）蔬菜水果商
greet,问候；向...致敬
greeting,祝贺
grey / gray,灰色的；灰白的
grill,（烧食物的）烤架
grocery,食品，杂货；杂货店
ground,地面
group,组，群
grow(grew, grown),生长；发育；种植；变成
growth,生长，增长
guarantee,保证，担保
guard,防护装置，警戒
guess,猜
guest,客人，宾客
guidance,引导，指导
guide,向导，导游者
guilty,有罪的；犯法的；做错事的
guitar,吉他，六弦琴
gun,枪，炮
gym=gymnasium,体操；体育馆；健身房
gymnastics,体操
ha,哈（笑声）
habit,习惯，习性
hair,头发
haircut,（男子）理发
half,半，一半，半个
hall,大厅，会堂，礼堂；过道
ham,火腿
hamburger,汉堡包
hammer,锤子，锣锤
hand,手；指针 递；给；交付 交上；交进
handbag,女用皮包，手提包
handful,（一）把；少数，少量
handkerchief,手帕
handle,柄，把手 处理
handsome,英俊的
handwriting,书法
handy,便利的，顺手的
hang(hung, hung),处（人）绞刑；上吊
hang(hanged, hanged),悬挂，吊着；把...吊起
happen,（偶然）发生
happily,幸福地，快乐地
happiness,幸福，愉快
happy,幸福的；快乐的，高兴的
harbour(Am harbor),港口
hard,努力地；使劲；猛烈地 硬的；困难的；艰难的
hardly,几乎不
hardship,困难
hardworking,努力工作的
harm,伤害；损伤
harmful,有害的；致伤的
harmless,无害的；不致伤的
harmony,和睦，协调
harvest,收割，收获（物）
hat,帽子(一般指有边的)；礼帽
hatch,（鸟、鸡）孵蛋
hate,恨，讨厌
have(had, had),有；吃；喝；进行；经受
he,他
head,头；头脑(像)；才智；首脑；源头；标题 率领；加标题；用头顶；出发；(船等)驶向
headache,头疼
headline,（报刊的）大字标题
headmaster,（英）中小学校长
headmistress,女校长
health,健康，卫生
healthy,健康的，健壮的
hear(heard, heard),听见；听说，得知
hearing,听力
heart,心；心脏；纸牌中的红桃
heat,热 把...加热
heaven,天，天空
heavy,重的
heel,脚后跟
height,高，高度
helicopter,直升飞机
hello,喂；你好（表示打招呼，问候或唤起注意）
helmet,头盔
help,帮助，帮忙
helpful,有帮助的，有益的
hen,母鸡
her,她(宾格),她的
herb,草药
here,这里，在这里；向这里
hero,英雄，勇士，男主角
heroine,女英雄，女主角
hers,她的（名词性物主代词）
herself,她自己
hesitate,犹豫，踌躇
hi,你好（表示打招呼、问候或唤起注意）
hibernate,冬眠
hibernation,冬眠
hide(hid, hidden),把...藏起来，隐藏
high,高的；高度的 高地
highway,公路
hill,小山；丘陵；土堆；斜坡
him,他（宾格）
himself,他自己
hire,租用
his,他的
history,历史，历史学
hit(hit, hit),打，撞，击中
hobby,业余爱好，嗜好
hold(held, held),拿；抱；握住；举行；进行
hole,洞，坑
holiday,假日；假期
holy,神圣的
home,家 到家；回家
homeland,祖国
hometown,故乡
homework,家庭作业
honest,诚实的，正直的
honey,蜂蜜
Hong Kong,香港
honour(Am honor),荣誉，光荣 尊敬，给予荣誉
hook,钩子 衔接，连接
hope,希望
hopeful,有希望的；有前途的
hopeless,没有希望的；不可救药的
horrible,令人恐惧的；恐怖的
horse,马
hospital,医院
host,主人；节目主持人 做主人招待
hostess,女主人
hot,热的
hot dog,热狗(红肠面包)
hotel,旅馆，饭店，宾馆
hour,小时
house,房子；住宅
housewife,家庭主妇
housework,家务劳动
how,怎样，如何；多少；多么
however,可是 然而，可是，尽管如此
howl,嚎叫，嚎哭
huge,巨大的，庞大的
human,人的，人类的 人类
humorous,富于幽默的
humour(Am humor),幽默，幽默感
hundred,百
hunger,饥饿
hungry,（饥）饿的
hunt,寻找；狩猎，猎取
hunter,猎人
hurricane,飓风，十二级风
hurry,赶快；急忙
hurt(hurt, hurt),伤害，受伤；伤人感情
husband,丈夫
hydrogen,氢
I,我
ice,冰
ice--cream,冰淇淋
idea,主意，意见，打算，想法
identity,身份，特征
idiom,习语，成语
if,如果，假使；是否，是不是
ill,有病的；不健康的
illegal,非法的
illness,疾病
imagine,想像，设想
immediate,立即的，马上
immediately,立即
immigration,移民
import,进口，输入
importance,重要性
important,重要的
impossible,不可能的
impress,留下极深的印象
impression,印象，感觉
improve,改进，更新
in,在...里(内)；在...；以... 在家，在内，向内
inch,英寸
incident,事件
include,包含，包括
income,收入，所得
increase,增加，繁殖
indeed,确实；实在
independence,独立
independent,独立的；有主见的
indicate,表明，象征
industry,工业，产业
influence,影响
inform,告诉；通知
information,信息
initial,开始的，最初的
injure,损害，伤害
injury,受伤处
ink,墨水，油墨
inn,小旅店；小饭店
innocent,无辜的，清白的
insect,昆虫
insert,插入
inside,在...里面 在里面
insist,坚持；坚决认为
inspect,检查；检验；审视
inspire,鼓舞；激励
instant,瞬间；刹那
instead,代替，顶替
institute,(研究)所,院，学院
institution,慈善机构
instruct,通知；指示；教
instruction,说明，须知；教导
instrument,乐器；工具，器械
insurance,保险
insure,给...保险
intelligence,智力；理解力；情报
intend,想要，打算
intention,打算,计划,意图
interest,兴趣，趣味；利息
interesting,有趣的
international,国际的
internet,互联网，英特网
interpreter,翻译
interrupt,打扰，打断
interval,间歇；间隔
interview,采访，会见，面试
into,到...里；向内；变成
introduce,介绍
introduction,引进，介绍
invent,发明，创造
invention,发明，创造
invite,邀请，招待
iron,铁，熨斗 熨烫
irrigation,灌溉
island,岛
it,它
its,它的
itself,它自己
jacket,短上衣，夹克衫
jam,果酱；阻塞
January,一月
Japan,日本
Japanese,日本的，日本人的，日语的 日本人，日语
jar,罐子；坛子
jaw,下巴
jazz,爵士音乐，爵士舞曲
jeans,牛仔裤
jeep,吉普车
jet,喷气式飞机；喷射（器）
jewellery,（总称）珠宝
job,（一份）工作
jog,慢跑
join,参加，加入；连接；会合
joke,笑话
journalist,记者，新闻工作者
journey,旅行，路程
joy,欢乐，高兴，乐趣
judge,裁判；审判员；法官 判断，断定
judgement,裁判
juice,汁、液
July,七月
jump,跳跃；跳变
June,六月
jungle,丛林，密林
junior,初级的；年少的
just,刚才；恰好；不过；仅 公正的
justice,正义；公正；司法
kangaroo,大袋鼠
keep(kept, kept),保持；保存；继续不断 培育，饲养
kettle,（烧水用的）水壶
key,钥匙；答案；键；关键
keyboard,键盘
kick,踢
kid,小孩
kill,杀死，弄死
kilo,千克；千米
kilogram(me),千克
kilometre(Am kilometer),千米（公里）
kind,种；类 善良的；友好的
kindergarten,幼儿园
kindness,仁慈；善良
king,国王
kingdom,王国
kiss,吻，亲吻
kitchen,厨房
kite,风筝
knee,膝盖
knife(pl knives),小刀；匕首；刀片
knock,敲；打；击
know(knew, known),知道，了解；认识；懂得
knowledge,知识，学问
lab=laboratory,实验室
labour(Am labor),劳动
lack,缺乏，缺少
lady,女士，夫人
lake,湖
lamb,羔羊
lame,跛的，瘸的，残废的
lamp,灯，油灯；光源
land,陆地；土地 登岸（陆）；降落
language,语言
lantern,灯笼；提灯
lap,（人坐时）膝部；（跑道的）一圈
large,大的，巨大的
laser,激光
last,最近刚过去的；最后的 持续
late,晚的，迟的 晚地，迟地
latter,（两者之中的）后者
laugh,笑，大笑；嘲笑
laughter,笑；笑声
laundry,洗衣店；要洗的衣服
law,法律，法令；定律
lawyer,律师
lay(laid, laid),放，搁
lazy,懒惰的
lead(led, led),领导，带领
lead ^2^,铅
leader,领袖，领导人
leaf(pl leaves),（树，菜）叶
league,联盟，社团
leak,漏；渗
learn(learnt, learnt或-ed, -ed),学，学习，学会
least,最少，最少量
leather,皮革
leave(left, left),离开；把...留下，剩下
lecture,讲课，演讲
left,左边 向左 左边的
leg,腿；腿脚；支柱
legal,与法律有关的，法律的
lemon,柠檬 柠檬色（的）
lemonade,柠檬水
lend(lent, lent),借（出）,把...借给
length,长，长度，段，节
less,少于，小于
lesson,课；功课；教训
let(let, let),让
letter,信；字母
level,水平线，水平
liberate,解放，使获自由
liberation,解放
librarian,图书管理员；（西方的）图书馆馆长
library,图书馆，图书室
license,执照，许可证
lid,盖子
lie ^1^(lay, lain),躺；卧；平放；位于
lie ^2^,谎言 说谎
life(pl lives),生命；生涯；生活；人生；生物
lift,举起，抬起；（云、烟等）消散 （英）电梯
light,光，光亮；灯，灯光 点（火），点燃 明亮的；轻的；浅色的
lightning,闪电
like,像；跟...一样 喜欢；喜爱
likely,很可能的
limit,限制；减少
line,绳索，线，排，行，线路 画线于，（使）成行
link,连接；联系
lion,狮子
lip,嘴唇
liquid,液体；液体的
list,一览表，清单
listen,听，仔细听
literary,文学的
literature,文学
litre(Am liter),升；公升（容量单位）
litter,乱丢杂物
little(less, least),小的，少的
live,生活；居住；活着
lively,活泼的；充满生气的
load,负担，负荷
loaf,一个面包
local,当地的；地方的
lock,锁 锁，锁上
lonely,孤独的，寂寞的
long,长的，远
look,看，瞧 看，观看 看起来
loose,松散的；宽松的
lorry,（英）运货汽车，卡车
lose(lost, lost),失去，丢失
loss,丧失；损耗
lot,许多，好些
loud,大声的
lounge,休息厅；休息室
love,爱；热爱；很喜欢
lovely,美好的，可爱的
low,低；矮
luck,运气，好运
lucky,运气好，侥幸
luggage,(总称)行李
lunch,午餐，午饭
lung,肺；肺脏
machine,机器
mad,发疯的；生气的
madam/madame,夫人，女士
magazine,杂志
magic,有魔力的
maid,女仆；侍女
mail,邮政，邮递 邮寄
mailbox,邮筒；邮箱
main,主要的
mainland,大陆
major,较大的；主要的
majority,大多数
make(made, made),制造，做；使得
male,男（性）的；雄的
man(pl men),成年男人；人，人类
manage,管理；设法对付
manager,经理
mankind,人类；（总称）人
man-made,人造的，人工的
manner,方式，态度，举止
many(more, most),许多人（或物） 许多的
map,地图
maple,枫树
marathon,马拉松
marble,大理石；玻璃弹子
March,三月
march,游行，行进
mark,标记 标明，作记号于
market,市场，集市
marriage,结婚，婚姻
marry,（使）成婚，结婚
mask,口罩；面具(具)；遮盖物 戴面具；掩饰；伪装
mass,众多；大量；（复）群众
master,精通，掌握
mat,垫子
match ^1^,比赛，竞赛 火柴
match ^2^,使相配，使成对
material,材料，原料
mathematics math=mathematics,（通常作单数用）数学
matter,要紧事，要紧,事情；问题 要紧，有重大关系
mature,成熟的
maximum,最大量（的）；最大限度（的）
may(might),可以；也许，可能
May,五月
maybe,可能，大概，也许
me,我（宾格）
meal,一餐（饭）
mean(meant, meant),意思是，意指
meaning,意思，含意
means,方法，手段；财产
meanwhile,同时
measure,量
meat,（猪、牛、羊等的）肉
medal,奖牌
media,媒体
medical,医学的，医疗的
medicine,药
medium,中间的，中等的
meet(met, met),遇见，见到 会；集会
meeting,会；集会；会见；汇合点
member,成员，会员
memorial,纪念馆
memory,回忆，记忆
mend,修理，修补
mental,精神的；脑力的
mention,提及；记载
menu,菜单
merchant,商人；生意人 商业的；商人的
merciful,仁慈的；宽大的
mercy,怜悯
merely,仅仅，只不过
merry,高兴的，愉快的
mess,凌乱
message,消息，音信
messy,乱七八糟的
metal,金属 金属制成的
method,方法，办法
metre(Am meter),米，公尺
microscope,显微镜
microwave,微波
mid-autumn,中秋
midday,中午，正午
middle,中间；当中；中级的
midnight,午夜
might,可能，也许
mild,温和的，暖和的，凉爽的
mile,英里
milk,牛奶 挤奶
million,百万
millionaire,百万富翁
mind,思想，想法 介意，关心
mine,我的（名词性物主代词） 矿藏，矿山 开采（矿物）
mineral,矿物质，矿物
minibus,小型公共汽车
minimum,最小的
miniskirt,超短裙
minister,部长；牧师
minority,少数；少数民族
minus,减，减去
minute,分钟；一会儿，瞬间
mirror,镜子
miss,失去，错过，缺
Miss,小姐，女士(称呼未婚妇女)
missile,导弹
mist,雾
mistake(mistook, mistaken),错误 弄错
mistaken,错误的
misunderstand(misunderstood, misunderstood),误会；不理解
mix,混合，搅拌
mixture,混合物
mm=millimetre,毫米
mobile,活动的，可移动的
model,模型，原形；范例；模范
modern,现代的
modest,谦虚的；谦逊的
mom =mum,妈妈
moment,片刻，瞬间
mommy =mummy,妈妈（美）
Monday,星期一
money,钱；货币
monitor,（班级内的）班长；纠察生；监视器
monkey,猴子
month,月，月份
monument,纪念碑，纪念物
moon,月球；月光；月状物
moon cake,月饼
mop,拖把 拖地
moral,道德的
more,较多的；更 更多的量；另外的一些
morning,早晨，上午
Moslem,伊斯兰教徒，回教徒
mosquito,蚊子
most,最多 大部分，大多数
mother,母亲
motherland,祖国
motivation,动机
motor,发动机，马达
motorcycle,摩托车
motto,箴言，格言
mountain,山，山脉
mountainous,多山的
mourn,哀痛；哀悼
mouse(pl mice),鼠，耗子；（计算机）鼠标
moustache,小胡子
mouth,嘴，口
move,移动，搬动，搬家
movement,运动，活动
movie,（口语）电影
Mr.(mister),先生（用于姓名前）
Mrs.(mistress),夫人，太太（称呼已婚妇女）
Ms.,女士(用在婚姻状况不明的女子姓名前)
much,许多的，大量的 非常；更加
mud,泥，泥浆
muddy,多泥的，泥泞的
multiply,乘；使相乘
murder,谋杀
museum,博物馆，博物院
mushroom,蘑菇
music,音乐，乐曲
musical,音乐的，爱好音乐的 音乐片
musician,音乐家，乐师
must,必须，应当；必定是
mustard,芥末，芥子粉
mutton,羊肉
my,我的
myself,我自己
nail,钉，钉子
name,名字，姓名，名称 命名，名叫
narrow,狭窄的
nation,民族，国家
national,国家的，全国性的，民族的
nationality,国籍
nationwide,全国范围内的，全国性的
native,本土的，本国的
natural,自然的
nature,自然,性质，种类
navy,海军
near,近的 附近，邻近 靠近
nearby,附近的
nearly,将近，几乎
neat,整洁的；灵巧的
necessary,必需的，必要的
neck,颈，脖子
necklace,项链
need,需要，需求 需要，必须
needle,针
neighbour(Am neighbor),邻居，邻人
neighbourhood(Am neighborhood),四邻；邻近地区
neither,（两者）都不；也不
nephew,侄子，外甥
nervous,紧张不安的
nest,巢；窝
net,网
network,网络，网状系统
never,决不，从来没有
new,新的；新鲜的
news,新闻，消息
newspaper,报纸
next,紧挨着的，隔壁的；下一次 然后，下一步
nice,令人愉快的；好的，漂亮的
niece,侄女，甥女
night,夜；夜间
nine,九
nineteen,十九
ninety,九十
ninth,第九
no,不，不是 没有，无，不
No.(缩)=number,数字；号码
noble,高贵的，贵族的
nobody,渺小人物 没有人，谁也不
nod,点头
noise,声音，噪声，喧闹声
noisy,喧闹的，嘈杂的
none,无任何东西或人，无一人
noodle,面条
noon,中午，正午
nor,也不
normal,正常的
north,北的；朝北的；从北来的 北；北方；北部
northeast,东北（部）
northern,北方的，北部的
northwest,西北
nose,鼻
not,不，没
note,便条，笔记，注释；钞票，纸币；音符，音调 记下，记录；注意，留意
notebook,笔记簿
nothing,没有东西，没有什么 一点也不；并不
notice,注意，察觉 布告，通告；注意
novel,（长篇）小说
novelist,小说家
November,十一月
now,现在
nowadays,当今，现在
nowhere,任何地方都不；无处
nuclear,原子核的，原子能的，核动力的
number,数，数字，号码；数量
nurse,护士；保育员
nursery,托儿所
nut,坚果，坚果仁（胡桃，栗子等）
nutrition,营养
nylon,尼龙
obey,服从，顺从，听从
object,物，物体；宾语
observe,观察，监视，观测
obtain,获得；得到
obvious,显然的
occupation,职业，工作
occupy,占据；占领
occur,发生
ocean,海洋
Oceania,大洋洲
o'clock,...点钟
October,十月
of,(表示所属,数量,其中)...的
off,离开，脱离，（电，自来水）停了，中断 离开；（电，自来水）停了，中断
offer,提供，建议
office,办公室
officer,军官；公务员，官员；警察，警官
official,官员，高级职员 官方的，政府的
offshore,近海的
often,经常，常常
oh,哦！啊！
oil,油
oilfield,油田
OK,好，对，不错
old,老的，旧的
Olympic(s),奥林匹克
on,在...上（时），关于 在上，接通，进行下去
once,一次，一度，从前 一旦
one,一（个，只...） 一
oneself,自己；自身
onion,洋葱；洋葱头
only,仅仅，只，才 唯一的，仅有的
onto,到...的上面
open,开着的，开口的 开，打开
opener,开具，启子
opening,开放，口子
opera,歌剧
operate,做手术，运转；实施，负责，经营，管理
operation,手术，操作
operator,接线员
opinion,看法，见解
oppose,反对；反抗
opposite,相反，对面 相反的，对面的
optimistic,乐观的
optional,可选择的，非强制的
or,或；就是；否则
oral,口述的，口头上的
orange,橘子，橙子，橘汁 橘色的，橙色的
orbit,（天体等的）运行轨道
order,顺序 定购，定货；点菜
ordinary,普通的，平常的
organ,器官
organise(Am organize),组织
